Enabled,Id,CSI,UnitMultiplier,Exchange,Currency,OurDescription,CSI_Description
1,ALUMINIUM,20388,1,COMEX,USD,NYMEX Aluminum Index,Aluminum
1,SILVER,868,0.01,COMEX,USD,NYMEX Silver Index,Silver
1,CAD,64,1,CME,USD,CADUSD currency,Canadian Dollar
1,CHF,25,1,CME,USD,CHFUSD currency,Swiss Franc
1,SEK,711,1,CME,USD,SEKUSD currency,Swedish Krona/US Dollar
1,NOK,712,1,CME,USD,NOKUSD currency,Norwegian Krone/US Dollar
1,BRE,821,1,CME,USD,BREUSD currency,Brazilian Real
1,RUR,1064,1,CME,USD,RURUSD currency,RX-Russian Ruble
1,BONO,20113,1,EUREX,EUR,ES 10 year bonds,Long-Term Euro-BONO
1,MSCIASIA,20456,1,EUREX,USD,MSCI Emerging Markets Asia,MSCI Emerging Markets Asia Index
1,EURO600,1759,1,EUREX,EUR,Dow Jones STOXX 600 Index,STOXX Europe 600 Index
1,DAX,993,1,EUREX,EUR,DAX 30 Index (Deutsche Aktien Xchange 30),DAX Index
1,DOW,20336,1,CBT,USD,Micro E-Mini Dow Jones Industrial Average Index,Micro E-mini Dow Jones Industrial Average Index
1,RUSSELL,20335,1,CME,USD,Micro E-Mini Russell 2000 Index,Micro E-mini Russell 2000 Index
1,SP400,684,1,CME,USD,E-mini S&P Midcap 400 Futures,e-mini S&P Midcap 400 Index
1,GBPEUR,450,1,CME,GBP,GBPEUR currency,Euro/British Pound
1,YENEUR,451,1,CME,JPY,YENEUR currency,Euro/Japanese Yen
1,BUXL,551,1,EUREX,EUR,German Buxl 15 to 30 year bond,Euro Buxl (4%)
1,BTP3,1640,1,EUREX,EUR,Short-Term Euro-BTP Italian Government Bond,Short Euro BTP
1,US3,1407,1,CBT,USD,US 3 year bond note,3-Year Treasury Note
1,US10U,20273,1,CBT,USD,Ultra 10-Year US Treasury Note,Ultra 10-Year U.S. Treasury Note
1,US30,1507,1,CBT,USD,Ultra Treasury Bond,Ultra T-Bonds
1,KOSDAQ,20093,1,KRX,KRW,KOSDAQ 150 Index,KOSDAQ 150 Index
1,BRENT-LAST,1211,1,CLEAR,USD,Brent Crude Oil - Last Day,Brent Crude Last Day
1,GAS-LAST,837,1,NYMEX,USD,Natural Gas Last Day Financial Futures Index,Natural Gas Financial (Last Day)
1,NIKKEI400,20007,1,OSE,JPY,JPX-Nikkei Index 400,JPX-Nikkei Index 400
1,CNH,20034,1,SGX,CNH,SGX US Dollar in offshore Chinese Renminbi (CNH),USD/CNH
1,DJSTX-SMALL,20119,1,EUREX,EUR,Dow Jones STOXX Small 200 Index,STOXX Europe Small 200 Index
1,EU-BANKS,1315,1,EUREX,EUR,Dow Jones Euro STOXX Banks Index,Euro STOXX Banks
1,EU-CHEM,1622,1,EUREX,EUR,Dow Jones STOXX 600 Chemicals,STOXX Europe 600 Chemicals
1,EU-INSURE,1422,1,EUREX,EUR,Dow Jones STOXX 600 Insurance,STOXX Europe 600 Insurance
1,FTSECHINAA,1576,1,SGX,USD,FTSE/Xinhua China A50,China A50 Index
0,FTSECHINAH,,1,,,,
1,FTSETAIWAN,20522,1,SGX,USD,FTSE Taiwan RIC Capped Price Return TWD Index,FTSE Taiwan Index
1,INR-SGX,1940,1,SGX,USD,SGX Indian Rupee in US Dollar Futures,INR/USD
1,IRON,1931,1,SGX,USD,SGX TSI Iron Ore Futures,TSI Iron Ore CFR China (62% Fe Fines) Index
1,JGB,1238,1,OSE,JPY,Standardized 6% 10-Year Japanese Government Bond,10-Year Japanese Govt Bond
1,KRWUSD_mini,20543,1,SGX,USD,SGX Korean Won in US Dollar Futures (Mini),mini KRW/USD
1,MSCISING,539,1,SGX,SGD,MSCI Singapore Free Index,MSCI Singapore Stock Index
1,MUMMY,20010,1,OSE,JPY,TSE Mothers Index,TSE Mothers Index
1,NIFTY,643,1,SGX,USD,CNX Nifty Index,S&P CNX Nifty Index
1,NIKKEI,1059,1,OSE,JPY,Nikkei 225 Mini,mini Nikkei 225 Index
1,R1000,20307,1,CME,USD,E-Mini Russell 1000 Value Index Futures,e-mini Russell 1000 Value Index
1,SGD,20552,1,SGX,SGD,SGX US Dollar in Singapore Dollar Futures (Full-Sized),SGD/USD
1,SOFR,20319,1,CME,USD,Secured Overnight Financing Rate 3-month average of rates,3-Month SOFR
1,TOPIX,1334,1,OSE,JPY,Japan Mini Topix,mini TOPIX Index
1,CRUDE_W_mini,725,1,NYMEX,USD,Light sweet crude Winter mini,e-mini Crude Oil
1,WTI_micro,20395,1,NYMEX,USD,micro WTI crude oil,micro WTI Crude Oil
1,GAS_US_mini,724,1,NYMEX,USD,Natural gas US mini,e-mini Henry Hub Natural Gas
1,GOLD_micro,1572,1,COMEX,USD,Gold micro,E-Micro Gold
1,KOSPI_mini,20094,1,KRX,KRW,KOSPI mini,mini KOSPI 200
1,NASDAQ_micro,20334,1,CME,USD,NASDAQ micro,Micro E-mini Nasdaq 100 Index
1,SP500_micro,20333,1,CME,USD,S&P 500 micro,Micro E-mini S&P 500 Index
1,LUMBER,27,1,CME,USD,Random Length Lumber,Lumber
1,ETHEREUM,20390,1,CME,USD,CME CF Ether-Dollar Reference Rate,Ethereum (ETH/USD)
1,EU-CONSTRUCTION,1628,1,EUREX,EUR,Dow Jones STOXX 600 Construction & Materials,STOXX Europe 600 Construction
1,EU-DIV50,1426,1,EUREX,EUR,Dow Jones EURO STOXX 50 Index-Dividenden,DJ Euro STOXX 50 Index Dividend
1,FED,74,1,CBT,USD,30 Day Fed Funds,30 Day Federal Funds
1,MID-DAX,443,1,EUREX,EUR,Midcap DAX,DAX Midcap Index
1,FTSEINDO,20537,1,SGX,USD,FTSE Indonesia Index,FTSE Indonesia Index
1,EURCHF,452,1,CME,CHF,Euro/chf,Euro/Swiss Franc
0,USIRS5ERIS,,1,,,,
1,EU-DJ-UTIL,1321,1,EUREX,EUR,Dow Jones Euro STOXX Utilities Index,Euro STOXX Utilities
1,EU-DJ-OIL,1084,1,EUREX,EUR,Dow Jones Euro STOXX Oil & Gas,Euro STOXX Oil & Gas
1,EU-MID,20102,1,EUREX,EUR,Dow Jones STOXX MID 200 Index,STOXX Europe Mid 200
1,EU-MEDIA,1403,1,EUREX,EUR,Dow Jones STOXX 600 Media,STOXX Europe 600 Media
0,EUROSTX-PRICE,,1,,,,
1,JP-REALESTATE,20013,1,OSE,JPY,TSE REIT Index,TSE REIT Index
0,EUROSTX-SMALL,,1,,,,
1,SMI-MID,1099,1,EUREX,CHF,Swiss Mid-cap Index,Swiss Mid-cap Index
1,EU-FINANCE,1624,1,EUREX,EUR,Dow Jones STOXX 600 Financial Services Index,STOXX Europe 600 Financial Services
1,EU-DJ-INSURE,1421,1,EUREX,EUR,Dow Jones Euro STOXX Insurance,Euro STOXX Insurance
1,EU-DJ-TELECOM,1635,1,EUREX,EUR,Dow Jones Euro STOXX Telecommunications,Euro STOXX Telcom
1,JGB-SGX-mini,337,1,,,,
1,EUROSTX-MID,20120,1,EUREX,EUR,Euro Stoxx Mid,EURO STOXX Mid Index
1,EU-REALESTATE,1626,1,EUREX,EUR,Dow Jones STOXX 600 Real Estate,STOXX Europe 600 Real Estate
0,EUROSTX200-LARGE,,1,,,,
