CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100553,0,1553,AWK,AWK,WK,ASX,"West Australian Wheat Milling",,Settlement,"",1,2,20,AUD,"20 tonnes","AUD/Tonne",1,2,VIVIVIVIVIII,2009-09-14,2022-01-07,"","11:00 - 18:30",,"",1,0,1,0,1,0
100561,0,1561,NB2,NB2,BB,ASX,"90 Day New Zealand Bank Bills",RTH,Settlement,"NBB,NB1,NB2",1,24,2400,NZD,"NZD 1000000","NZD / bas pt",1,24,IIVIIVIIVIIV,2004-03-26,2022-01-07,"","08:30 - 16:30",,"",2,0,1,0,1,6162
100682,0,1682,YA1,YA1,AP,ASX,"SPI 200",ETH,Last,"YAP,YA2,YA1",1,2.5,25,AUD,"AUD25  x Index","Points",10,25,SSVSSVSSVSSV,2000-05-03,2022-01-07,"","17:10 - 08:00",,"",1,0,1,0,1,19753
100683,0,1683,YT4,YT4,XT,ASX,"Australian Bond 10 Year",ETH,Last,"YTC,YT3,YT4",1,9.4,9400,AUD,"A$100000 @ 6 Percent","Percent",1,9.4,IIVIIVIIVIIV,1989-12-01,2022-01-07,"","17:10 - 07:00",,"",3,0,1,0,1,61900
100684,0,1684,YR3,YR3,YT,ASX,"Australian Bond 3 Year",ETH,Last,"YTT,YT2,YR3",1,2.8,2800,AUD,"A$100000 @ 6 Percent","Percent",1,2.8,IIVIIVIIVIIV,1990-02-23,2022-01-07,"","17:10 - 07:30",,"",3,0,1,0,1,22989
100685,0,1685,BB0,BB0,IR,ASX,"Australian 90 Day Bank Bills",ETH,Last,"YBA,YB2,BB0",1,24,2400,AUD,"A$1000000","Percent",1,24,IIVIIVIIVIIV,1990-01-12,2022-01-07,"","17:10 - 07:30",,"",2,0,1,0,1,7817
100791,0,1791,AXP,AXP,XFL,ASX,"S&P/ASX Mini 50 Index",,Settlement,"",0,1,10,AUD,"AUD 10 x Index","Points",10,10,SSVSSVSSVSSV,2012-06-28,2015-01-07,"","09:50 - 19:00",,"",1,0,1,0,1,
100792,0,1792,AXF,AXF,AA,ASX,"S&P/ASX 200 A-REIT",,Settlement,"",1,2.5,25,AUD,"AUD 25 x Index","Points",10,25,IIVIIVIIVIIV,2012-06-27,2022-01-07,"","09:50 - 16:30",,"",1,0,1,0,1,90
200110,0,20110,YXX,YXX,XX,ASX,"Australian Govt Bond 4%(20Yr)",Combined,Settlement,"YXX,YX2,YX1",0,8,8000,AUD,"AUD50000 @ 4%","percent",2.5,20,IIVIIVIIVIIV,2015-09-21,2018-09-17,"","17:12 - 16:30",,"",3,1,1,0,1,
200111,0,20111,YX2,YX2,XX,ASX,"Australian Govt Bond 4%(20Yr)",RTH,Settlement,"YXX,YX2,YX1",0,8,8000,AUD,"AUD50000 @ 4%","percent",2.5,20,IIVIIVIIVIIV,2015-09-21,2018-09-17,"","08:32 - 16:30",,"",3,1,1,0,1,
200112,0,20112,YX1,YX1,XX,ASX,"Australian Govt Bond 4%(20Yr)",ETH,Last,"YXX,YX2,YX1",0,8,8000,AUD,"AUD50000","percent",2.5,20,IIVIIVIIVIIV,2015-09-21,2018-09-17,"","17:12 - 07:00",,"",3,1,1,0,1,
200144,0,20144,AWM,AWM,WM,ASX,"Eastern Australia Wheat",,Settlement,"",1,0.2,20,AUD,"20 metric ton","AUD/metric ton",10,2,VIVIVIVIVIII,2015-10-12,2022-01-07,"","17:00 - 16:30",,"",2,0,1,1,1,2143
200198,0,20198,LTY,LTY,LT,ASX,"20 Year Australian Treasury Bond",Combined,Settlement,"LTY,LT2,LT1",1,10,10000,AUD,"AUD 65000","percent",2.5,25,IIVIIVIIVIIV,2018-08-13,2022-01-07,"","17:12 - 16:30",,"",3,1,1,0,1,15
200199,0,20199,LT2,LT2,LT,ASX,"20 Year Australian Treasury Bond",RTH,Settlement,"LTY,LT2,LT1",1,10,10000,AUD,"AUD 65000","percent",2.5,25,IIVIIVIIVIIV,2018-08-13,2022-01-07,"","08:32 - 16:30",,"",3,1,1,0,1,15
200200,0,20200,LT1,LT1,LT,ASX,"20 Year Australian Treasury Bond",ETH,Last,"LTY,LT2,LT1",1,10,10000,AUD,"AUD 65000","percent",2.5,25,IIVIIVIIVIIV,2018-08-13,2022-01-07,"","17:12 - 07:00",,"",3,1,1,0,1,0
200534,0,20534,VT0,VT0,VT,ASX,"5 Year Australian Treasury Bond",Combined,Settlement,"",1,5.2,5200,AUD,"AUD 100000 @ 2%","percent",2.5,13,IIVIIVIIVIIV,2020-11-30,2022-01-07,"","17:10 - 16:30",,"",3,1,1,0,1,1272
200535,0,20535,VT2,VT2,VT,ASX,"5 Year Australian Treasury Bond",RTH,Settlement,"",1,5.2,5200,AUD,"AUD 100000 @ 2%","percent",2.5,13,IIVIIVIIVIIV,2020-11-30,2022-01-07,"","08:30 - 16:30",,"",3,1,1,0,1,1152
200536,0,20536,VT1,VT1,VT,ASX,"5 Year Australian Treasury Bond",ETH,Last,"",1,5.2,5200,AUD,"AUD 100000 @ 2%","percent",2.5,13,IIVIIVIIVIIV,2020-11-30,2022-01-07,"","17:10 - 07:00",,"",3,1,1,0,1,120
200564,0,20564,BNQ,BNQ,BN,ASX,"NSW Base Load Electrcity Quarterly",,Settlement,"",1,21.9,2190,AUD,"2190 MWh","AUD/MWh",1,21.9,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:00 - 16:00",,"",2,0,1,0,0,89
200565,0,20565,BQQ,BQQ,BQ,ASX,"QLD Base Load Electrcity Quarterly",,Settlement,"",1,21.9,2190,AUD,"2190 MWh","AUD/MWh",1,21.9,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:00 - 16:00",,"",2,0,1,0,0,436
200566,0,20566,BSQ,BSQ,BS,ASX,"SA Base Load Electrcity Quarterly",,Settlement,"",1,21.9,2190,AUD,"2190 MWh","AUD/MWh",1,21.9,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:00 - 16:00",,"",2,0,1,0,0,0
200567,0,20567,BVQ,BVQ,BV,ASX,"VIC Base Load Electrcity Quarterly",,Settlement,"",1,21.9,2190,AUD,"2190 MWh","AUD/MWh",1,21.9,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:00 - 16:00",,"",2,0,1,0,0,100
200568,0,20568,EDM,EDM,ED,ASX,"OTA Base Load Electrcity Monthly",,Settlement,"",1,0.73,73,NZD,"73 MWh","NZD/MWh",5,3.65,VVVVVVVVVVVV,2016-06-14,2022-01-07,"","10:30 - 16:00",,"",2,0,1,0,0,112
200569,0,20569,EAQ,EAQ,EA,ASX,"OTA Base Load Electrcity Quarterly",,Settlement,"",1,2.19,219,NZD,"219 MWh","NZD/MWh",5,10.95,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:30 - 16:00",,"",2,0,1,0,0,0
200570,0,20570,EHM,EHM,EH,ASX,"BEN Base Load Electrcity Monthly",,Settlement,"",1,0.73,73,NZD,"73 MWh","NZD/MWh",5,3.65,VVVVVVVVVVVV,2016-06-14,2022-01-07,"","10:30 - 16:00",,"",2,0,1,0,0,0
200571,0,20571,EEQ,EEQ,EE,ASX,"BEN Base Load Electrcity Quarterly",,Settlement,"",1,2.19,219,NZD,"219 MWh","NZD/MWh",5,10.95,IIVIIVIIVIIV,2016-06-14,2022-01-07,"","10:30 - 16:00",,"",2,0,1,0,0,30
