CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
643,0,643,SIN,SIN,IN,SGX,"S&P CNX Nifty Index",Combined,Settlement,"SIN,SI4,SI3",1,0.2,2,USD,"$2 x Index","points",5,1,SSVSSVSSVSSV,2000-09-25,2021-08-11,"","18:40 - 18:10",,"",1,0,1,0,1,50670
648,0,648,SS2,SS2,NK,SGX,"Nikkei 225 Index",RTH,Settlement,"SSI,SS2,SS1",1,500,500,JPY,"JPY500 x Index","points",1,500,SSVSSVSSVSSV,1997-09-04,2021-08-11,"SSI starts at 1986-09-03","07:30 - 14:25",,"",0,0,1,0,1,19034
704,0,704,SJG,SJG,,SGX,"Japanese Govt Bond-Full-size 10Yr",,Settlement,"",0,100000,10000000,JPY,"JPY 100000000","points",1,100000,IIVIIVIIVIIV,2002-04-18,2006-12-08,"","07:45 - 17:15",,"",2,0,1,0,1,
738,0,738,SME,SME,,SGX,"Crude Oil Middle East",,Settlement,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,2003-01-17,2004-10-08,"","08:00 - 19:00",,"",2,0,1,0,1,
751,0,751,ST2,ST2,TW,SGX,"MSCI Taiwan Index",RTH,Settlement,"STW,ST2,ST1",0,10,100,USD,"$100 x Index","points",1,10,SSVSSVSSVSSV,2003-07-02,2020-11-04,"STW starts at 1997-01-09","08:45 - 13:45",,"",1,0,1,0,1,
100160,0,1160,SS1,SS1,NK,SGX,"Nikkei 225 Index",ETH,Last,"SSI,SS2,SS1",1,500,500,JPY,"JPY 500 x Index","Points",5,2500,SSVSSVSSVSSV,2007-04-18,2021-08-11,"","14:55 - 04:45",,"",0,0,1,0,1,7646
100161,0,1161,ST1,ST1,TW,SGX,"MSCI Taiwan Index",ETH,Last,"STW,ST2,ST1",0,10,100,USD,"USD 100 x Index","Points",1,10,SSVSSVSSVSSV,2007-04-18,2020-11-04,"","14:15 - 04:45",,"",1,0,1,0,1,
100162,0,1162,SE4,SE4,EY,SGX,"Euroyen 3-Mth",RTH,Settlement,"SEY,SE4,SE3",0,250,250000,JPY,"JPY 100000000","percent",2.5,625,IIVIIVIIVIIV,2007-04-18,2020-07-31,"","07:25 - 19:05",,"",3,0,1,0,1,
100163,0,1163,SE3,SE3,EY,SGX,"Euroyen 3-Mth",ETH,Last,"SEY,SE4,SE3",0,250,250000,JPY,"JPY 100000000","percent",2.5,625,IIVIIVIIVIIV,2007-04-18,2020-07-31,"","19:20 - 04:45",,"",3,0,1,0,1,
100164,0,1164,SE6,SE6,EL,SGX,"Euroyen LIBOR",RTH,Settlement,"SEL,SE6,SE5",0,250,250000,JPY,"JPY 100000000","JPY/basis point",5,1250,IIVIIVIIVIIV,2007-04-18,2015-10-30,"","07:30 - 19:05",,"",3,0,1,0,1,
100165,0,1165,SE5,SE5,EL,SGX,"Euroyen LIBOR",ETH,Last,"SEL,SE6,SE5",0,250,250000,JPY,"JPY 100000000","JPY/basis point",5,1250,IIVIIVIIVIIV,2007-04-18,2015-10-30,"","19:50 - 02:00",,"",3,0,1,0,1,
100166,0,1166,SJ2,SJ2,JB,SGX,"mini 10-Year Japanese Govt Bond",RTH,Settlement,"SJB,SJ2,SJ1",1,1000,100000,JPY,"JPY 10000000","percent",1,1000,IIVIIVIIVIIV,2007-04-18,2021-08-11,"SJB starts at 1993-10-01","07:25 - 17:10",,"",2,0,1,0,1,828
100167,0,1167,SJ1,SJ1,JB,SGX,"mini 10-Year Japanese Govt Bond",ETH,Last,"SJB,SJ2,SJ1",1,1000,100000,JPY,"JPY 10000000","percent",1,1000,IIVIIVIIVIIV,2007-04-18,2021-08-11,"SJB starts at 1993-10-01","17:30 - 04:45",,"",2,0,1,0,1,223
100168,0,1168,SS4,SS4,SGP,SGX,"MSCI Singapore Index",RTH,Settlement,"SSG,SS4,SS3",1,1,100,SGD,"SGD 100 x Index","Points",5,5,SSVSSVSSVSSV,2006-12-11,2021-08-11,"SSG starts at 1998-09-07","08:30 - 17:20",,"",2,0,1,0,1,23494
100169,0,1169,SS3,SS3,SGP,SGX,"MSCI Singapore Index",ETH,Last,"SSG,SS4,SS3",1,1,100,SGD,"SGD 100 X Index","Points",5,5,SSVSSVSSVSSV,2007-04-23,2021-08-11,"SSG starts at 1998-09-07","17:50 - 05:15",,"",2,0,1,0,1,2264
100170,0,1170,SI4,SI4,IN,SGX,"S&P CNX Nifty Index",RTH,Settlement,"SIN,SI4,SI3",1,0.2,2,USD,"$2 x Index","Points",5,1,SSVSSVSSVSSV,2007-04-18,2021-08-11,"SIN starts at 2000-09-25","09:00 - 18:10",,"",1,0,1,0,1,52038
100171,0,1171,SI3,SI3,IN,SGX,"S&P CNX Nifty Index",ETH,Last,"SIN,SI4,SI3",1,0.2,2,USD,"$2 x Index","Points",5,1,SSVSSVSSVSSV,2007-04-18,2021-08-11,"","18:40 - 04:45",,"",1,0,1,0,1,5089
