CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
19,63,2514,BO,BO%,007601,CFTC,"COT Soybean Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
19,64,9914,BO,BO#,007601,CFTC,"COT F+O Soybean Oil  Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
20,63,2515,SB,SB%,080732,CFTC,"COT Sugar #11 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
20,64,9915,SB,SB#,080732,CFTC,"COT F+O Sugar #11 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
21,63,2516,W,W%,001602,CFTC,"COT CBT Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
21,64,9916,W,W#,001602,CFTC,"COT F+O CBT Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
22,63,2517,KW,KW%,001612,CFTC,"COT KC Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
22,64,9917,KW,KW#,001612,CFTC,"COT F+O KC Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
23,64,9942,MP,XB#,095741,CFTC,"COT F+O MEXICAN PESO Net Values",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-05-23,2022-01-04,"","",,"",0,0,0,0,0,
23,63,2542,MP,XB%,095741,CFTC,"COT MEXICAN PESO Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-05-23,2022-01-04,"","",,"",0,0,0,0,0,
24,64,9918,DM,DM#,,CFTC,"COT F+O DMark Net Values",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2000-03-07,"","",,"",0,0,0,0,0,
24,63,2518,DM,DM,,CFTC,"COT DMark Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1982-12-30,2000-03-07,"","",,"",0,0,0,0,0,
25,64,9919,SF,SF#,092741,CFTC,"COT F+O Swiss Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
25,63,2519,SF,SF%,092741,CFTC,"COT Swiss Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
26,63,2569,BP,BP%,096742,CFTC,"COT British Pound Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
26,64,9969,BP,BP#,096742,CFTC,"COT F+O British Pound Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
27,63,2520,LB,LB%,058643,CFTC,"COT Lumber Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
27,64,9920,LB,LB#,058643,CFTC,"COT F+O Lumber Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
30,64,9921,GC,GC#,088691,CFTC,"COT F+O Comex Gold Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
30,63,2521,GC,GC%,088691,CFTC,"COT Comex Gold Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
33,64,9922,FC,FC#,061641,CFTC,"COT F+O Feeder Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
33,63,2522,FC,FC%,061641,CFTC,"COT Feeder Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
41,64,9923,TB,TB#,041741,CFTC,"COT F+O T-Bills Net Values",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2000-03-07,"","",,"",0,0,0,0,0,
41,63,2523,TB,TB,041741,CFTC,"COT T-Bills Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1982-12-30,2000-03-07,"","",,"",0,0,0,0,0,
44,63,2524,US,US%,020601,CFTC,"COT T-bonds Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
44,64,9924,US,US#,020601,CFTC,"COT F+O T-Bonds Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
49,63,0,LCC,LCC%,,CFTC,"COT ICE Cocoa Futures (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
49,64,0,LCC,LCC#,,CFTC,"COT ICE Cocoa F+O (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
51,63,0,LWB,LWB%,,CFTC,"COT ICE Wheat Futures (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
51,64,0,LWB,LWB#,,CFTC,"COT ICE Wheat F+O (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
65,64,9927,JY,JY#,097741,CFTC,"COT F+O Japanese Yen Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
65,63,2527,JY,JY%,097741,CFTC,"COT Japanese Yen Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
68,64,9929,MW,MW#,001621,CFTC,"COT F+O MGE Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
68,63,2529,MW,MW%,001621,CFTC,"COT MGE Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
69,64,9930,PA,PA#,075651,CFTC,"COT F+O Palladium Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
69,63,2530,PA,PA%,075651,CFTC,"COT Palladium Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1983-01-31,2022-01-04,"","",,"",0,0,0,0,0,
74,63,2531,FF,FF%,045601,CFTC,"COT French Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1988-10-14,2022-01-04,"","",,"",0,0,0,0,0,
74,64,9931,FF,FF#,045601,CFTC,"COT F+O French Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
89,64,9933,HO,HO#,022651,CFTC,"COT F+O Heating Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2014-07-08,"","",,"",0,0,0,0,0,
89,63,2533,HO,HO%,022651,CFTC,"COT Heating Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1986-01-15,2014-07-08,"","",,"",0,0,0,0,0,
99,64,9934,NK,NK#,240741,CFTC,"COT F+O Nikkei 225 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
99,63,2534,NK,NK%,240741,CFTC,"COT Nikkei 225 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1990-09-28,2022-01-04,"","",,"",0,0,0,0,0,
112,64,9938,XS,XS#,005603,CFTC,"COT F+O MACE Soybeans Net Values",,Settlement,"",0,,,USD,"","Contracts",1,,,2006-01-10,2021-09-21,"","",,"",0,0,0,0,0,
112,63,2538,XS,XS,005603,CFTC,"COT MACE Soybeans Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1986-02-28,2021-09-21,"","",,"",0,0,0,0,0,
129,63,2526,CD2,CD%,090741,CFTC,"COT Canadian Dollar Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
129,64,9926,CD2,CD#,090741,CFTC,"COT F+O Canadian Dollar Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
130,63,2541,RR,RR%,039601,CFTC,"COT Rough Rice Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1994-10-04,2022-01-04,"","",,"",0,0,0,0,0,
130,64,9941,RR,RR#,039601,CFTC,"COT F+O Rough Rice Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
134,64,0,LGO,LGO#,,CFTC,"COT ICE Gas Oil F+O (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
134,63,0,LGO,LGO%,,CFTC,"COT ICE Gas Oil Futures (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
136,64,0,LCO,LCO#,,CFTC,"COT ICE Brent Crude F+O (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
136,63,0,LCO,LCO%,,CFTC,"COT ICE Brent Crude Futures (Disaggregated)",,Settlement,"",1,,,,"","",1,,,2017-01-03,2022-01-04,"","",,"",0,0,0,0,0,
141,64,9943,ED,ED#,132741,CFTC,"COT F+O Euro Dollar Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
141,63,2543,ED,ED%,132741,CFTC,"COT Euro Dollar Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1983-01-31,2022-01-04,"","",,"",0,0,0,0,0,
142,63,2544,EM,EM%,032741,CFTC,"COT Libor Data ",,Settlement,"",0,,,USD,"","Contracts",1,,,1990-04-30,2009-04-07,"","",,"",0,0,0,0,0,
